81,84,85,84,81,83,83,86,84,84,81,82,84,80,77,85,52,50,51,51,48,49,48,51,46,48,47,48,45,47,48,48,80,79,80,78,78,73,78,74,77,72,75,71,77,71,75,74,81,83,85,88,85,86,90,87,84,84,86,84,87,86,84,81
91,95,96,94,92,93,94,96,95,95,92,93,95,90,88,97,82,80,81,81,77,79,78,82,75,78,75,77,73,77,79,79,97,99,99,96,94,91,97,93,95,91,95,89,96,92,96,95,88,91,93,95,94,91,98,94,92,90,93,92,95,94,92,91
71,75,75,73,71,71,72,74,74,75,72,73,74,71,71,78,97,96,97,96,92,94,93,98,91,94,91,94,89,93,96,98,85,89,89,84,81,80,87,84,86,83,89,81,86,85,88,88,65,68,68,70,71,64,72,68,68,65,68,69,71,70,68,70
20,23,23,21,21,20,21,21,23,23,23,23,22,22,25,27,82,82,82,80,79,79,79,83,80,81,79,81,77,81,85,87,40,45,45,39,35,39,43,43,43,44,48,42,43,46,47,47,14,16,15,15,18,10,15,14,15,12,15,16,17,15,16,21
-42,-42,-43,-43,-41,-43,-42,-44,-42,-41,-39,-40,-42,-39,-35,-39,33,34,34,32,34,33,34,36,37,37,36,36,35,37,40,43,-26,-21,-22,-25,-28,-22,-22,-19,-21,-16,-16,-18,-21,-14,-17,-15,-46,-46,-48,-50,-45,-52,-51,-50,-48,-50,-49,-47,-48,-49,-47,-41
-91,-93,-94,-94,-90,-92,-93,-96,-93,-93,-90,-91,-93,-88,-84,-93,-33,-30,-32,-32,-28,-31,-29,-30,-23,-26,-25,-26,-24,-25,-24,-22,-85,-83,-83,-83,-83,-78,-82,-78,-80,-74,-77,-74,-80,-73,-78,-76,-92,-93,-96,-99,-95,-97,-101,-97,-95,-96,-97,-94,-97,-97,-94,-90
-108,-113,-113,-112,-109,-110,-111,-114,-112,-112,-109,-110,-112,-107,-104,-114,-90,-87,-89,-88,-83,-85,-84,-88,-79,-82,-79,-82,-77,-81,-82,-83,-115,-115,-116,-113,-110,-107,-114,-109,-112,-106,-112,-105,-112,-107,-112,-111,-105,-108,-110,-114,-112,-109,-117,-112,-110,-108,-111,-110,-113,-112,-109,-108
-92,-97,-97,-95,-94,-94,-95,-97,-96,-97,-94,-95,-96,-93,-91,-100,-115,-113,-115,-113,-109,-111,-110,-115,-107,-110,-106,-109,-104,-109,-112,-114,-107,-111,-111,-106,-102,-101,-109,-105,-107,-103,-110,-101,-107,-105,-109,-108,-88,-91,-92,-94,-95,-88,-97,-93,-91,-88,-92,-92,-95,-93,-91,-92
-57,-61,-60,-59,-58,-58,-59,-60,-60,-61,-59,-59,-59,-58,-58,-63,-103,-103,-104,-102,-100,-101,-100,-106,-100,-103,-99,-102,-97,-102,-106,-109,-73,-78,-78,-72,-69,-70,-76,-74,-75,-73,-79,-71,-75,-75,-78,-78,-53,-55,-55,-57,-58,-52,-58,-55,-55,-52,-55,-56,-57,-56,-55,-57
-21,-24,-23,-22,-23,-22,-22,-23,-23,-23,-23,-23,-22,-22,-23,-25,-68,-69,-69,-67,-67,-67,-67,-71,-69,-70,-68,-69,-66,-70,-73,-76,-33,-37,-37,-33,-31,-32,-36,-35,-35,-35,-38,-34,-35,-37,-37,-38,-19,-21,-20,-21,-22,-18,-21,-20,-20,-18,-19,-20,-21,-20,-20,-22
0,0,0,1,0,0,1,0,1,0,0,0,1,1,-1,0,-29,-30,-29,-29,-30,-29,-30,-31,-32,-32,-31,-32,-31,-32,-34,-36,-5,-7,-6,-5,-4,-5,-6,-6,-6,-7,-7,-6,-6,-8,-7,-8,1,0,1,1,0,2,1,1,1,2,2,1,1,1,1,0
8,8,8,8,8,8,9,9,9,8,8,8,9,8,7,8,-2,-3,-2,-2,-3,-3,-3,-3,-5,-5,-5,-4,-5,-5,-6,-6,8,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,8,8,8,9,8,8,9,8,8,8,9,8,8,9,8,8
